,Question,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
0,"govt run for benefit of all people,",-0.034246816533699154,0.07821399457644544,-0.0693909935228585,0.08139711253306664,-0.04907801297151832,0.11956786501590572,-0.13751957223145947,0.03560061018237753,-0.06553345493022336,0.17501283394191183
1,Explained Variance,0.1380545173980316,0.07691676192799163,0.04527784779916293,0.034143067040811576,0.02955606937894855,0.026170068168543243,0.023811031942236917,0.021043949700418653,0.018608742641544086,0.017217629592502035
2,"none in govt corrupt,",-0.03243681433195911,-0.05807157213078559,-0.08592565259743626,0.1693865974717536,-0.10710520380440652,-0.03735722492147081,-0.17849777244836582,0.08275704350487156,0.12315082452413821,0.02442326457776839
3,"people never can be trusted,",0.0933647213492051,0.15170450222290466,-0.006890307109172128,-0.12421058236644728,0.006815321530752903,0.0035074821237575035,0.054341339233594216,-0.020195082059688313,-0.0904900532862264,0.3084361998352576
4,"elections don't make govt pay attention,",-0.011059680140816111,0.05713141475478872,-0.0035773832027717334,-0.19023592068173167,0.01255736900531304,-0.01722289643579661,0.09076836689756171,0.1501025506997717,-0.1268515946067633,0.055430526140691085
5,"govt provide many more services,",0.13052266250867336,0.07441432275492121,-0.03836866969599617,0.00809902726030548,0.030440621340212984,-0.017372114033107622,-0.027559064258823318,-0.05158567877547708,-0.017129981605543576,0.027347417882178426
6,"more defense spending,",-0.007568296332189868,0.043760333504245616,0.0923086668572411,0.0859431105995761,-0.006547611928760577,-0.009817197811729683,-0.011227174673208162,-0.10323069387766005,-0.015672048989377282,0.08346023393482813
7,"private healthcare,",-0.09084775266562468,-0.0034934906772942738,0.038023507252487626,-0.007602232844615586,-0.0452432464541172,0.04845707773748806,0.04444349254255353,-0.09118246076031604,0.01072046719030624,0.0904911895495268
8,"govt shouldn't provide guaranteed jobs & ubi,",-0.13679302645703886,-0.033140779542295384,0.04580963617709166,-0.005736044032890075,-0.09377227049585996,0.023496835208362987,0.05048697940335359,-0.024715836576863628,0.18667606298040856,-0.010345267797649493
9,"govt shouldnt help black people,",-0.16730843144930552,-0.05849110627596072,0.052733465401922225,0.008874010611269162,-0.0721904284360238,0.009033034425509845,0.032322986484014854,-0.06921453735626322,0.13272353014896826,-0.045620224750934274
10,"govt shouldn't protect environment,",-0.0883779738955502,0.032628053068291876,-0.0020944319072903252,-0.057858782875828574,-0.011627303416472445,-0.03779411969966105,-0.04065012832811282,-0.042813961055967825,0.07208636937784005,0.04574076580776096
11,"decrease social security spending,",-0.12599049862245645,-0.07642664705608974,-0.037074127554663446,-0.05794271428535624,-0.0021702430869391387,-0.03583959982634416,0.027224060216341633,0.16307449585358338,0.0530816639089389,0.034191442394629096
12,"decrease public school spending,",-0.13632453508048276,0.01270271781262519,-0.008062821000543884,-0.08549425060111646,0.00799291648235062,0.008809650271921932,-0.0034533432011817355,0.17033233866286496,-0.006370882175603471,0.01063376309395836
13,"decrease border security spending,",0.046576121535809305,-0.020868482215666624,-0.13823984492629968,-0.019093995079433983,0.010547307500248515,0.08755425288623508,0.2229958672954907,0.1059928708153653,-0.026250661932269798,-0.050173773159055496
14,"decrease crime prevention spending,",-0.029659469347024136,-0.036052484358476765,-0.1299208958945348,-0.12678586875922554,0.03203833007430895,0.034196732752536346,0.05577476247609592,0.2921828051771915,0.028510438182439146,0.0002575232064264965
15,"decrease welfare spending,",-0.13677772484466763,-0.10434612165989338,0.0669696317153288,-0.0919625238155825,0.012791608675449869,-0.10477512678025926,0.004945449525637552,0.005579598386422302,0.0876218271375282,-0.038440391313453975
16,"decrease highway spending,",-0.08078396646386965,0.020035356546115053,-0.025813855444646837,-0.1820978101725816,-0.020014157956807443,0.0014688526970838,-0.016430801183687574,0.22036587482592906,0.0752257597326601,-0.15788932897962896
17,"decrease poor aid spending,",-0.1818128195143241,-0.0716877815679648,0.040688043700466296,-0.07865134776508209,0.003154061938775183,-0.027432765905532626,-0.0018708395149504148,0.1251480274718667,0.10045586813735702,-0.08639835356805736
18,"decrease environment spending,",-0.11439125701452009,0.014607011796313695,0.006885384348034429,-0.07012949435242771,-0.00030070612434199436,-0.08540614645733706,-0.014872298631970936,0.12102925116965152,0.042992330769301854,-0.08659804999467478
19,"abortion always allowed,",0.05856546465561125,-0.06786897759579294,-0.07191045424715337,-0.09814677390910063,0.04341030850639943,0.024843175680906403,-0.06007815127382933,0.005511263697593993,-0.014386749322641557,-0.14102323232258718
20,"no death penalty,",0.0964071286329829,0.016735627815753662,-0.07222341565705104,-0.006974720058100485,-0.03935912216176062,-0.0687909855938576,0.03675515641188457,0.14448801080938234,-0.13618196091833007,0.06398471593846497
21,"us should not stay home,",0.011324365208323785,-0.11558027601012202,0.017848484823880607,0.11436235443717498,-0.0662111115253263,0.019541075905304094,0.06858163222056708,-0.022184708338028672,-0.005418973532839204,-0.05819062472675263
22,"us shouldnt use force internationally,",-0.0046995259691503454,-0.07927645840881452,-0.0654158820706494,-0.16762707878186262,0.019245191537965226,-0.22318838130920807,-0.052299755784352295,0.02685903144569939,-0.00656040717283074,0.1906563218119468
23,"vote in person,",-0.0867932139382145,0.019807319466176653,0.019751766967577442,-0.10178320529485577,-0.011679821600890665,-0.02491642484076006,0.039123897164983365,-0.04952924929533182,-0.019924717535431485,-0.02331402137499266
24,"no voter id laws,",0.08161170863785626,0.041885128417014764,-0.07008699676458571,-0.03392467779142445,-0.12798590295454104,0.20529163168196687,0.015958768094912736,0.23353959651521203,-0.05192090020931377,-0.015530963305951995
25,"ex felons should not vote,",-0.13104321900295798,0.03033208596258562,0.03614231729966907,0.006845140883045762,-0.03761519341205509,0.16420121481729208,0.04721989290091422,0.1190284950839326,0.07394289332859044,-0.013837968185735239
26,"important that news can criticize politicians,",0.034399979950447176,-0.14116227393583922,0.04612768970852394,0.02772326387462974,0.027263392844299537,0.05417242197452416,-0.02575104122218593,0.01738660462541214,-0.12454724488722005,-0.04657901135805478
27,"checks and balances important,",0.015925349802473638,-0.2442638947071114,0.20155885233547946,0.046286028518138796,0.052571086448233696,0.07294494607070388,-0.08802142525544016,0.11217523636593561,-0.2232010593150369,-0.014394105979643433
28,"important elected officials face consequences for misconduct,",0.05242946128990518,-0.22144412531363755,0.2292822677339588,-0.03503962631467353,0.10452812141885291,0.021751667622384854,-0.08731651690760567,-0.03747444908134075,-0.31162878762604634,-0.13074265030155924
29,"important people agree on basic facts,",0.021858385181439448,-0.17294581501994255,0.17810456112080744,0.09140766296925365,0.05076687461803172,0.06348974699486218,-0.14622204868003472,0.0721951893891159,-0.2200245904152019,-0.1407677341438726
30,"bad if us president could bypass courts/congress,",0.024770434448505223,-0.15638107653501523,-0.0004417185435067377,-0.07461465604189885,-0.09125493770193759,-0.09037980671899974,-0.04515591569909261,-0.005091936682177535,-0.14975895852803045,-0.11243374784850621
31,"do not restrict journalist access to govt info,",0.0179267056389943,-0.13710326671809575,-0.03728000288350768,-0.06447238248294099,-0.06212577444025752,0.04929570735794562,0.057781814044415625,0.11697624225490308,-0.03859355629008017,-0.07613375008227641
32,"concerned govt want to undermine media,",0.10153337042537704,-0.1159624561114057,0.10574890021267959,0.07874766462534002,-6.772080738496667e-05,0.0998833067567363,0.039339226354442904,0.026060771652897264,-0.019049144186796256,-0.04338963996824519
33,"confident in news media,",0.12002449108571063,0.007537773369396016,0.019084559022637036,0.18954733193305429,-0.05882718732204901,-0.02727717169735385,-0.11373278355056464,0.0010085137231057237,0.03165054372543504,-0.13299373240238
34,"pres shouldnt ask foreign countries to investigate rivals,",0.0812810919930452,-0.13961780733910778,0.08071531267675582,0.02065424667349103,-0.012990341713800861,0.008294719537143669,-0.006122448694157255,0.047198492479045104,-0.13090451161039748,-0.03645974725337144
35,"stick to principles and not compromise,",0.023776662390668852,0.06787248280364712,-0.004987156677178541,0.02534162710056183,-0.04559429438640645,0.018105951096131664,0.051943130286674515,-0.051956755876958985,-0.08087739117171228,-0.2679770655364327
36,"against trump impeachment house,",-0.17227867684725734,0.000360361206185378,0.007111971636412809,-0.0186853605680621,0.006403120566766616,0.07815933032133834,-0.0021169687106033855,0.019351145862060538,0.033638384487120365,0.07372592304188805
37,"against trump impeachment senate,",0.17330547419875797,0.015833085251957826,0.010475336634881977,0.011401618183424786,-0.05872898554440677,-0.0237496191986216,0.033923235098798445,0.026528557784797867,-0.010026086269116545,-0.018545873608264325
38,"covid response too slow,",0.12467525079343256,-0.04918468930635101,0.034543033523589714,0.021697210829747994,-0.01751362094487777,-0.031165758615642105,0.07047057128854455,-0.08637521073160401,-0.018602815855770997,-0.03105124133980874
39,"no paid parental leave,",-0.1195726423269954,0.06852702980553987,-0.04549775974695339,-0.014597533658679291,-0.07798066031272567,0.10467499396286144,0.028094880711144122,0.11595735879185856,0.0562902230486371,-0.08278866452920111
40,"business should provide services to same sex couples,",0.05589183011820959,0.007938670841552385,-0.12117301738907034,0.005260740468950315,0.06620751244311666,0.20252899760829748,-0.034380602801800574,-0.08278837196895411,0.13593852356447994,-0.039104156605101435
41,"against trans bathroom bills,",0.020495251684251856,-0.08125434670118421,-0.09038542204768658,-0.007338706673944721,-0.02188948144976074,0.27784609133392163,-0.03912709365372968,-0.07014203074647388,0.132647157898724,-0.09138205935286245
42,"oppose gay antidiscrimiation law,",-0.05163406241126521,0.13867231857605553,0.001684226277061765,0.02923853598723426,-0.14189525026019034,-0.002964371504603198,0.07030945791708247,0.051755188323673734,-0.06612869304793434,-0.05337574347075186
43,"gay people shouldnt be allowed to adopt children,",-0.004744725551078266,0.125935578525699,0.052870765000004066,0.08611526394709992,-0.15363538445422187,-0.1815952042785451,0.21877956336011936,0.23488974195786128,-0.15717771352935656,0.020577414302035635
44,"no gay marriage,",-0.005727183664758256,0.17273384911538742,0.04753258584211673,0.14288223193906466,-0.1562974115902972,-0.26271650781410705,0.20340784422407562,0.23096995283233254,-0.039660160091558386,0.03442367171769986
45,"allow undocumented immigrants to become citizens,",0.07571148035065807,-0.05940612937629966,-0.06374836244039421,0.04463430595026314,-0.019907132509885524,0.08300637460446061,0.28543361090262276,-0.07859305757389767,-0.06975757277206085,0.063289066464166
46,"don't end birthright citizenship,",0.07484429229108785,-0.08682618688585292,-0.049177810131613604,0.00885296703285038,-0.023955304216086312,0.11698040336237041,0.2024810230984912,0.02297334969095618,-0.06530223480242686,0.06828745362386386
47,"children of undocumented shouldn't be deported,",0.08005158156308727,-0.09047662496166241,-0.034431454679534734,0.046210833647362594,-0.02296141213902659,0.07473726100600367,0.2244958925618566,-0.07003829892013126,-0.02248372691242074,0.03676005101705709
48,"oppose border wall,",0.11481557553005814,-0.025889757858104944,-0.08571218107744762,-0.0230811070241967,-0.02792430690367,0.09951165805507933,0.14585229687406776,0.018102341414152567,-0.05415190664014363,-0.006952428487551031
49,"use force to prevent urban unrest,",-0.1705994918308592,-0.033013038899564896,0.037301831863924946,-0.046472942346100374,0.007891751383958248,0.04086474868075914,0.05855596387800012,0.03922695438022717,0.11417524860020632,-0.02131425189417379
50,people too easily offended,-0.13801118517775618,-0.00978689203098717,0.03733105801119761,0.0197287944785942,0.011750055184637686,0.03466070161269917,-0.011300971367567948,0.05351704589985093,0.038253303146357595,0.07397870781773278
51,most women don't interpret innocent remarks or acts as being sexist.,0.02961618101835666,-0.008744911395529955,-0.05560481694055201,-0.02380593588847965,0.03582901216210129,0.09327594196145823,-0.024680953224219947,0.11572994773492983,-0.06431619738879965,-0.0833218308475943
52,women do not seek to gain power by controlling men,0.06189390258773008,-0.09506799807240718,-0.05497693701846145,-0.04859790151168178,-0.009011524728341637,0.060417862009047946,-0.035776513438935065,0.06890579376941743,-0.002987460791243613,0.05229959180913978
53,public officials care what i think,-0.029157540920904123,-0.004962587871971847,-0.11327250150403112,0.10054588524625754,-0.17803542869358502,-0.08138138454929252,-0.08377703213591606,0.01863876356162166,-0.08156546930890073,0.012392202021830218
54,i have no say in govt,0.00644395163292722,-0.04053446745959933,-0.05572022766390889,0.14228924785381042,-0.24173034623285913,-0.024012532494231173,-0.09133720020429456,-0.02696192930133786,-0.12415143457182165,-0.023675884317925104
55,no new limits on imports,0.02351302157269616,-0.0030467149872968075,-0.12185635509812463,-0.011941719581420486,0.002268668513294811,0.10278916533020355,0.033610490039934736,-0.1738583854089104,-0.037036078124568446,0.11291115458691971
56,less immigrants,-0.027918572020467672,0.05829797617419404,0.11383111058518518,-0.13246930216428435,-0.019744366775704427,-0.11009780013848033,-0.1951868122030336,-0.04149426170779739,-0.027334289615715268,0.10761329586775946
57,oppose refugees,-0.02822230396509732,0.15867074885985544,0.022220693582231745,-0.06303576716527069,-0.05353632925038203,-0.16731967041021295,-0.15862177416290296,-0.13101945201362886,-0.03554521937753003,-0.03838912409132855
58,no path to citizenship for undocumented,-0.04557867506084917,0.11073558188643108,0.017117272256520835,-0.08283357026785276,-0.03147131329812226,-0.07128854122516924,-0.06386363141624345,-0.05924190202778719,-0.11563588071641094,-0.036142838342881796
59,oppose returning undocumented to birth countries,0.06013386348949437,-0.08792939059921297,-0.10060582339401404,0.03504944942126674,-0.0025246224694476173,0.13131439114529408,0.14627611370234256,0.0455554836202165,0.038272178737336265,0.12589855810117215
60,dont separate undocumented kids from families,0.07522525458452556,-0.11895553759093375,-0.010101350368075933,-0.05812983366965979,-0.009889204211254145,-0.10087811070372406,0.08401394334485968,2.2694694001873517e-05,0.19171024535191783,0.047761554306690754
61,no preferential hiring/promotion of blacks,-0.22220284544360155,-0.17396814150509318,0.08188853604357389,0.0023996167780161066,0.06271430560514443,-0.035510540369152854,0.06048323479455528,-0.06860945841614491,0.018644109548913657,-0.005266284667861491
62,more govt better,0.1354007293939525,0.05830811245513689,-0.01283383432456711,0.0407719566735512,-0.06299275285717998,-0.030512966637444593,-0.021125956035531513,0.020370229881832926,0.019084677444804472,0.02976444531848309
63,govt shouldnt reduce income inequality,-0.09804972051018132,0.06552135475969104,0.034161563155915876,0.01954909733380193,0.04863045060646919,-0.03744639514758266,0.019018157134246875,-0.11063408867973692,0.03567058782900316,0.0613862402176526
64,shouldnt make sure everyone has equal opportunity,-0.10826638335621006,0.01880386013709085,-0.040444778769329066,-0.029127892448029307,-0.026131945373534797,0.10416247602689693,-0.022537596444730516,-0.10152698907405461,-0.053512745970700965,0.06350052079767964
65,should worry more about equality,0.13479150537381268,-0.08951857204107633,-0.07199463546633356,-0.14432550299782831,-0.06825802788382411,-0.18670875503368253,-0.02910755380112943,0.04607539963590776,0.04867596386337654,-0.008553598871906591
66,problem if some have more chance in life,0.09823881829800825,-0.06667211231843609,-0.06720170265403504,-0.12795974100175572,-0.0662234000211182,-0.17147627276382707,-0.07854704169452242,0.07144392847325731,0.06835752741434868,-0.17382777856167939
67,wouldnt have fewer problems if people treated more equally,-0.14089743826463128,-0.027568700582006264,-0.029229414264368984,-0.04227717743757728,-0.05021279189376759,0.0944764607519498,0.07057469373838694,-0.02980392644144728,-0.0923625906978116,-0.028083106335196215
68,shouldn't adjust morality to changing world,-0.05495409528474813,-0.0490082873785458,-0.007314153480812221,-0.11696328360679982,-0.07537741958018321,-0.14293958779006166,0.033164759899001216,-0.02914774731787092,-0.020364163551279072,0.12138264599672781
69,wouldnt have less problems if focused more on traditional family ties,0.019829619725365472,-0.057586959988928973,-0.11839907331050364,-0.1414692618974525,0.01904372468449516,0.11522091992329934,-0.04853931208577423,0.03329351948916529,-0.05450290780920588,-0.01996538577859002
70,wouldnt be better if others more like americans,0.005915841928035,-0.15340212022272068,-0.07277119243648399,-0.18242610439236048,-0.06358055651530418,-0.049898797772593456,-0.02290750039950691,0.07820320081363646,0.004614746057972867,-0.057141501326202285
71,US worse than other countries,0.0753142594411765,0.07938109757975954,-0.04650354013520094,-0.16768156022613367,-0.002954552758990477,0.08563702771469375,-0.005268446864561207,-0.03429499918259318,-0.07468086072429901,-0.20873622974629194
72,rural people have too little govt influence,-0.015439498647970274,-0.02622821256388758,0.049021017879478615,-0.12270247443485585,-0.05001744681071664,-0.10520772182176924,0.15741162222010757,-0.23904120735601184,-0.03815547527914915,0.008948862186794675
73,rural people get too little respect,-0.029529334819065042,-0.07557500463218172,0.07992205915722195,-0.11279163304060624,-0.059588390990799406,-0.051660775853793924,0.15779174137150626,-0.29297315414132774,-0.0668360816222587,0.013920866185427566
74,worse if traditional gender roles,-0.028937608811062897,0.02771752716076772,-0.1745891332104549,-0.03339095044602064,0.04871446345835364,0.10283574417755686,-0.17493979992193856,-0.036535291586477406,0.029539580148018406,-0.09716522116247843
75,women asking for equality dont want special favors,0.04859661533414751,-0.18153081378346372,-0.11272598149157606,-0.1300422037686246,-0.10804217922152577,-0.004118469055986314,0.02947325693206849,-0.11248913079636216,0.09509699601458647,-0.06583427838768212
76,women complaining about discrimination dont cause more problems,0.04436898438974874,-0.14315055971193033,-0.12868411075745478,-0.1296489216226225,-0.12166584393401497,-0.08122021815185997,0.011602216357038684,-0.08451010614305064,0.08646817171586943,-0.041506171617804406
77,"disagree w ""blacks should work their way up without special favors""",0.16718428320807058,-0.03836926861044063,-0.04012298231899313,-0.12122351974178179,-0.0550394957750678,-0.00865624519578214,-0.07438750183172406,0.03622319472996833,-0.10228283945710948,0.14168373377884733
78,blacks havent gotten less than they deserve,-0.20873978536509777,-0.06446833179941801,-0.009550378720885242,-0.01605326721348593,-0.017571534457987276,0.02496421416305842,-0.009295908839613901,-0.06521453163747601,0.014322285440005293,-0.03401269563437401
79,blacks dont suffer prejudice because of lack of hard work,0.1673510796247407,-0.022046094126281883,-0.040645048877090605,-0.09752513890469336,-0.04149977343424284,-0.057534794517726834,-0.0716930813766534,0.022949571867897596,0.05056983338592019,0.0426446565580941
80,politics only works for powerful,0.12929643277219208,0.008405944028383669,0.09123825876112078,-0.13462306920253986,0.15067686781147485,-0.048813661816067055,-0.028870228462945575,0.052392552810579585,0.07698825584190708,-0.046075348458660126
81,powerful make it harder for others to get ahead,0.13189269526983055,0.058135834312405474,0.09613682083958436,-0.0711915362846891,0.11757474090696352,0.0448640017069566,0.03691877397268707,0.01873752417036817,0.18007459789976912,-0.05486152958779159
82,trust experts more than ordinary people,-0.008618665309475785,-0.07410051424293591,-0.0661066735664241,0.02307809862994691,-0.03549229488412019,-0.014983147308523006,-0.14834468682782465,0.05489633823167062,0.03571550575881098,0.05409347916723888
83,people need help from experts to understand science,0.05634995476999443,-0.05828514160499323,0.09464663261885378,0.025820965224625087,0.004771969260580328,-0.05441501082762142,-0.2201085838582127,0.10235534131809101,0.0583389325261811,0.1525011933863576
84,science important for covid decisions,0.09447295047699085,-0.07767079880476212,0.07867238727952774,0.031060956721850618,-0.034248245885912396,-0.08687650838856871,-0.1784243322740479,0.09060867817267836,0.07384629054366772,0.11875943697734301
85,business/politics controlled by powerful few,0.0969189517433166,0.05509274316682852,0.11965356799685817,-0.0882050941501614,0.12302771695913566,0.0513292502919716,-0.03979264268315708,0.09004541066630826,0.04124165402874702,-0.006460141033781263
86,schools/media lie to benefit powerful few,0.02065899820938131,0.11415199661527371,0.0790899508848291,-0.10100403529230013,0.1064344325862196,0.04691779459780977,0.052703792560833594,0.07148221560762089,0.10521638761984695,-0.04613587601581336
87,no opportunity for average person to get ahead,0.0792904934884935,0.012172384166459754,-0.07075126095211098,-0.18507949264095308,0.06081526387725662,-0.07146664979662867,-0.04528719867744896,-0.12427633327345346,0.09547127417967957,0.0007757165127116224
88,reducing defecit not important,-0.007747450207183588,0.011628065139525945,-0.15362306453711594,-0.08299150863622093,0.0695438404863913,0.137274822766223,-0.09299904406340932,-0.04150219567678903,-0.07092433382508664,0.09013643373596167
89,disapprove obamacare,-0.1804389864817908,-0.01191721841520973,-0.0017713968172579043,-0.08740941452909956,0.08977556315030354,0.042003784720844185,-0.04366469302401044,-0.0029821958455145126,-0.06999865618597552,-0.000138295538527085
90,disapprove vaccines,0.03824725667401902,0.13233557241546007,-0.08601241461800305,-0.16799005732803535,0.04299768808560474,0.05465182851426787,-0.03873657663906385,-0.01941222117113534,-0.16757728662677607,0.10565095168301095
91,oppose climate change regulation,-0.07013451915297263,0.12665408221696856,-0.08313363162714349,-0.06322149836487757,-0.03482802450161318,-0.009590049761740629,0.027094871503616693,-0.017682690045387108,-0.009647016500383144,-0.07345595075305274
92,oppose gun purchase background checks,-0.06791617479098933,0.12015375700929222,-0.06835570109497485,-0.12200619445989126,-0.04955225867418156,0.07942748974307692,-0.023434525906122196,0.03285922915736167,-0.09298183639355781,-0.022848446622295387
93,oppose assault weapons ban,-0.06445589963607848,0.06691251119322045,0.0025634938465016518,-0.062309491809153156,0.05895501578396229,-0.025287321134297085,0.05010824288868212,0.0323245306461863,-0.15901819882852927,-0.07528446584470465
94,oppose assault weapon buyback,-0.09956787769641595,0.019544791679661413,0.004729774344817404,-0.12030936549112974,0.05357882385587881,0.016598680376012153,0.007806996918643736,-0.015387871917416675,-0.14962238476699297,0.15315479890996164
95,govt should do less abt opioid crisis,-0.06394251191758932,0.019697953637568315,-0.07538689519184852,-0.0801403691811687,-0.030827574305848624,0.09503018651079613,-0.06580809685991906,0.007252341030414099,-0.07152133338661101,0.04174875632664556
96,police overuse force,0.21179518021195076,0.15214981493307478,0.01538321946241344,-0.006800363971867444,0.018964086256449752,0.02751860260937836,-0.008103429572211404,-0.09903546855622729,0.025986556285443607,-0.1253304146445742
97,int trade increase bad,0.024707359133399272,0.15318170239396192,-0.061115098457688304,-0.1433053795033158,-0.05753406445077935,-0.029905352541945627,-0.0497279588999278,-0.10281654716320196,-0.061819224779752734,-0.09490209215277692
98,diversity makes US worse,-0.023352271401869896,0.16133067318947983,0.05491563250915559,-0.0933923781791587,-0.039941683991260246,0.04563486396388789,-0.08934760126154041,-0.06794261942087126,-0.12600063419876617,-0.08512317545525795
99,against $12k/year ubi,-0.1358901697228801,-0.06702605965752362,0.06029052578776504,-0.06412544251617953,-0.02153257991972,-0.05389318902866836,0.026267524847829418,-0.04045976559379866,-0.1500189024209584,0.0028209199046308805
100,decrease minimum wage,-0.11329388711603598,-0.014958956500909535,0.014429052685369764,-0.05972766859096575,-0.047088639048176686,0.06902343080945428,-0.019501467363186774,0.0016922689647295985,-0.027979066021961364,-0.04910737254861165
101,decrease govt healthcare spending,-0.1320573581511764,-0.013438794100105846,0.03797325189728302,-0.07510563592404491,-0.0627956966773374,0.004908906812814891,-0.030670599491715692,-0.05482685539543057,-0.14805684521366125,-0.060639345493182915
102,too little attn. to sexual harassement,0.06607624570576003,-0.04673579401607195,-0.04172407574987992,-0.06308940550112214,-0.08733454462585019,-0.1590007377740852,0.030239335327677128,0.0008301264320629415,0.17464186931520398,-0.21235625743454162
103,against trans military service,-0.05307676342139718,0.09370268250996391,0.02061619765836905,0.003704508279503274,-0.051748208546140706,-0.1119420405476811,0.13235017737756213,0.015407511059782813,-0.06807173699740154,0.034310185044530386
104,China threat to US,-0.0050656351503567355,-0.06869363235248131,0.25606343095607953,-0.08404671871798088,-0.191721339659204,0.10291578967819907,0.011990561708903972,0.009620475785747165,0.13676833297845914,0.09189525498945669
105,Russia threat to US,0.09427653757701282,-0.08244545797583429,0.23630520090543103,-0.037624649334777674,-0.20962258456178437,0.12554030860840945,0.05081823133750193,-0.010950838340924345,0.10075891859692293,0.09430379768716471
106,Mexico threat to US,0.006691018501993829,0.1339532286262666,0.22046813339006177,-0.054640981884106425,-0.19398831112051163,0.09405027090681656,-0.051883578746708695,0.04401989037252668,-0.0153848131444956,-0.11665807029572817
107,Iran threat to US,0.03263056311102366,-0.020368954115029436,0.2799898608934236,-0.06235932829436855,-0.16229728319631695,0.08807040394991238,0.004525044957646923,-0.040799776481420996,0.12922784203122864,0.10021325325608015
108,Japan threat to US,0.0889934672923189,0.15131228380791048,0.2095231536740084,-0.10916761541112724,-0.2725642173620108,0.13781392049328006,-0.07087244723475915,-0.024063083331683468,0.011818611365247617,0.02934311696602353
109,Germany threat to US,0.057170903886250485,0.1780527276800399,0.15078504119455904,-0.15361180806836833,-0.24561282961744368,0.17223166015789734,-0.0187616000244142,0.011524487306826522,0.06460349569717595,-0.09253593496387758
110,compromise in politics not selling out on principles.,-0.03396190173937707,-0.12931440465276328,-0.06715002020348498,-0.04506481706680848,-0.11186672496530177,0.07900458291531924,-0.12136976999764568,0.06056526855109776,-0.019018103035415138,0.14252859501508836
111,politicians care about people,-0.03509994557077908,-0.06607906636823642,-0.1167193154895447,0.07490732381489687,-0.21654209470573432,-0.07901351889026802,-0.0847648053322277,-0.0315199682617631,-0.01853106094295852,-0.050187089848169414
112,politicians not trustworthy,0.03943248820983239,-0.061676611956572175,0.11361128962682952,-0.19074910036052337,0.06103806391811777,0.08190466086847546,0.013106421429602094,0.12155731763834657,0.010411636469031815,0.20452278407340813
113,politicians not main problem in US,-0.009992024663600076,-0.04509825541600202,-0.13456769128797552,0.0853579094455313,-0.2354182430874246,-0.007079265557922666,0.03641401577847372,-0.009094119688366029,-0.03918253618071614,-0.00657498153059996
114,strong leader that bends rule bad for US,0.0038515669256184277,-0.13375533560918884,-0.032111334619236515,-0.11223365946350626,-0.12701235692392834,-0.05249068555342643,0.005309006579865036,-0.0986873920255151,-0.08374398817220488,-0.057930469513765924
115,politicans should make policy instead of people,-0.058228555296202966,-0.01861350385098553,-0.0679879064753903,-0.004447608276040932,-0.16647103546303155,0.08204040774152045,0.02928734382003183,-0.03501204415286232,0.021591444306934143,-0.001305369570492293
116,politicians don't only care about rich/powerful,-0.08982417524378683,-0.035880199223214455,-0.11483990873759337,0.042587370038829654,-0.2309130539034715,0.026203165180374653,-0.059854655929871485,-0.05297999548060553,-0.056814248550580926,0.018716563313155354
117,minorities shouldn't adapt to customs of US,0.08013736720700254,-0.05716727666587821,-0.0807379381129852,-0.11639645388599112,-0.12818051413339973,0.05068393716027459,0.0370989323131742,-0.01578082362225288,-0.030595422458818987,0.028989525060223047
118,will of majority shouldn't prevail over minority rights',0.05460117049506795,-0.13530826391974224,-0.03184901213683067,-0.09709513446983722,-0.11089651260894025,-0.029186352512728872,0.013898638019409977,-0.013276565839553597,0.02339230051554838,0.16926420594345354
