,Question,Component 1,Component 2,Component 3,Component 4,Component 5
0,Govt. is run for the benefit of all people.,0.026467657055455885,-0.049617287117039506,0.20282361693477174,-0.07454607132071434,0.05145912775823117
1,Govt. doesn't waste much tax money.,-0.025669139275615094,-0.04602142906297729,0.22768619111637167,-0.07650323308893908,0.06617516460114937
2,None running govt are corrupt,-0.010881718745414992,-0.1690531311207925,0.14372358442497096,-0.17004455452778874,0.06067825689503126
3,People can never be trusted.,0.010722647916974276,0.1778229898798589,0.0598293966957453,0.004965915363893542,0.005508045669717021
4,"elections don't make govt pay attention,",0.004197601022833821,0.11196049329700208,-0.025472843412641555,0.18851031056559114,0.03614750780627088
5,"govt provide many more services,",-0.11462812325552388,0.10290518202580512,0.07550163629809514,-0.0927123082120706,0.043512671687019056
6,"more defense spending,",0.09861739932720368,-0.0033005484184447376,-0.024956528762899804,-0.16526543103584235,0.045356677428131875
7,"private healthcare,",0.12060237844635957,-0.059930278618554406,-0.0287501588191205,-0.002958855720049558,-0.018433612383057463
8,"govt shouldn't provide guaranteed jobs & ubi,",0.11739605116951092,-0.08918684580324426,-0.043341595403415,0.03570277548326217,0.02169538563751483
9,"govt shouldnt help black people,",0.13198248598200613,-0.031585320997938496,-0.03694861234764912,-0.013049363718223232,0.05049645591303514
10,"govt shouldn't protect environment,",0.12368028517935334,-0.028966733064888863,0.0002565033782854478,0.027495207879099554,-0.02887151103119967
11,"decrease social security spending,",0.03681290776691187,-0.10248261941009713,0.012522309080208188,0.17527633590941882,-0.022326746586421614
12,"decrease public school spending,",0.09460482020042585,-0.06660513608402084,0.028665496114363233,0.1333321908384702,-0.12299195055916601
13,"decrease border security spending,",-0.13785475958585344,0.002961695881484681,0.042686779728725616,0.14181081481997812,-0.05786587342613067
14,"decrease crime prevention spending,",-0.07992260119205218,-0.017851625320232208,0.05472469265598711,0.2118780388602209,-0.08828219644541016
15,"decrease welfare spending,",0.12324430181880812,-0.06412121161763915,-0.07839741390807728,0.04913223673880849,0.04860472631029474
16,"decrease highway spending,",0.02056851399607324,0.013808065980537227,0.0796170440494925,0.11682948838596358,0.01250534462590514
17,"decrease poor aid spending,",0.11818756178182555,-0.0875187224406366,-0.019944821613852252,0.1263273001790936,0.008591703145359772
18,"decrease environment spending,",0.1276368113815945,-0.04019805732644995,0.014610965169229521,0.09526954503138373,-0.0423153056935386
19,"abortion always allowed,",-0.10884969314951808,0.001114177505788799,-0.015350065315970078,0.08309299413250174,0.07131223208770554
20,"no death penalty,",-0.09524258672796962,-0.020947837323337624,0.053762009771640445,0.0676709964299632,-0.11750149340602788
21,"us should not stay home,",-0.03574597475613003,-0.13445400317822406,-0.031557080642791495,-0.07747865998372037,-0.046197471223321795
22,"us shouldnt use force internationally,",-0.03725573794649283,-0.023863235003029882,-0.013689643218680618,0.14565238327415844,-0.011155281713895062
23,"vote in person,",0.12639552557580838,-0.013540814362813604,-0.03636924647694196,0.016520216611524665,0.03242571776997304
24,"no voter id laws,",-0.10267226687624631,0.01786825990862101,0.11644983481275134,0.0924188132410026,-0.12159670045404218
25,"ex felons should not vote,",0.08874270980946321,0.009886346321529479,0.0409983510440163,0.002673941034257255,-0.028341580799107022
26,"important that news can criticize politicians,",-0.0791458912323928,-0.11736569935743087,-0.0903367174598519,0.043106250896062466,-0.18743160248831495
27,"checks and balances important,",-0.027962072618684122,-0.1377429046121183,-0.2401210057710623,-0.012522078824549235,-0.12393202768567436
28,"important elected officials face consequences for misconduct,",-0.022270414135777336,-0.11168203094995445,-0.2645662876167918,-0.06167290548324078,-0.0845558230351826
29,"important people agree on basic facts,",-0.02659051819276885,-0.0983938764043774,-0.2099189556111619,-0.029812278851195126,-0.1328752870185089
30,"bad if us president could bypass courts/congress,",-0.058876894900392836,-0.1352279927717065,-0.08405855901577876,0.0431374313648379,-0.09961131102494555
31,"do not restrict journalist access to govt info,",-0.08642707055560482,-0.08266296378635418,-0.05475860584856641,0.0856214779226878,-0.10872399579106146
32,"concerned govt want to undermine media,",-0.10840808454797655,-0.022414174391972987,-0.0729680690035804,-0.056494456922688306,-0.15329480593083822
33,"confident in news media,",-0.10811362665150187,-0.03268282955158376,0.09190354633999365,-0.12846592915409547,-0.10142421099813499
34,"pres shouldnt ask foreign countries to investigate rivals,",-0.09394664791107749,-0.06954053328858147,-0.09663482431104205,-0.020896018141759072,-0.05510243243454126
35,"stick to principles and not compromise,",0.03392308466533867,0.08138190310878754,0.06148057126331061,-0.03570334267927989,-0.04412476594091492
36,"against trump impeachment house,",0.16387141422382814,-0.037405032740241026,-0.017526551541544824,0.019933777897236826,0.07605131151757986
37,"support trump impeachment senate,",-0.1619742622305267,0.05637473632656844,0.03029240062838936,-0.012513652253581038,-0.08942803913583715
38,"covid response too slow,",-0.12671630527602398,0.019981659526059292,-0.043939630200815497,-0.06150508141208644,-0.020272682878134426
39,"no paid parental leave,",0.07847049649838607,-0.03580564328530222,0.09645232075398592,0.09116182431737704,-0.0977477239193081
40,"business should provide services to same sex couples,",-0.1032556319900525,0.04444771681179569,0.06893431911218782,-0.014202680694521833,0.09979424813714038
41,"against trans bathroom bills,",-0.11928683982377127,-0.0271900667113589,0.020583067826232735,0.05311816452400952,0.0568091894069588
42,"oppose gay antidiscrimiation law,",0.06115313046746998,0.052522480969969386,0.12461172301299801,0.017017404020811668,-0.1772628935783795
43,"gay people shouldnt be allowed to adopt children,",0.07799162174142418,0.03594537931646852,0.07201555133672008,-0.053908221812417605,-0.22719718175426024
44,"no gay marriage,",0.09199867951653669,0.03899069740528102,0.07265515735216081,-0.0787057327132285,-0.18962583410109932
45,"allow undocumented immigrants to become citizens,",-0.08955751969719353,-0.03266286518374115,-0.05571129996148435,0.006787262579303034,0.03264360152151116
46,"don't end birthright citizenship,",-0.10640155075495904,0.0011376494018390726,0.02106488367288109,0.01984175194943424,-0.020959817646752383
47,"children of undocumented shouldn't be deported,",-0.07636364536877824,-0.04710472116168432,-0.05937724291316236,-0.007380011182967674,0.07441960883043462
48,"oppose border wall,",-0.16044432636798178,0.017991998119710435,0.03384687001268875,0.0648179437691624,-0.06323785657242612
49,"use force to prevent urban unrest,",0.14699165849993506,-0.04834318026047496,-0.02376192802291424,-0.017073933844705968,0.05173975048590121
50,people too easily offended,0.10950495958528585,-0.008946400888528093,-0.04753004972090292,0.0392567552019038,0.08180371335640386
51,most women don't interpret innocent remarks or acts as being sexist.,-0.0645967087110479,-0.013382872131422092,0.02008890307653152,0.07778964830423972,-0.037318356460275474
52,women do not seek to gain power by controlling men,-0.07838749632660028,-0.08573040925766558,-0.013431531417124975,0.05774669666160926,-0.022967647950146976
53,public officials care what i think,-0.028085743255673267,-0.1440580807573292,0.15601502951353688,-0.07800010842721412,-0.02683546171905404
54,i have no say in govt,-0.04441787401387564,-0.14719600029667282,0.1288707746807316,-0.06594453118578004,-0.07769925336901322
55,no new limits on imports,-0.08407673279804048,-0.030037816557722218,0.07212172278301618,0.10083565314691734,-0.02709239968119371
56,less immigrants,0.11432398553836619,0.039651139105923695,-0.021754162238578616,-0.09484725099031743,0.037430007701052335
57,oppose refugees,0.10848013980218094,0.07287076750923374,0.06707778310811004,-0.022782689125890116,-0.011205231089537106
58,no path to citizenship for undocumented,0.0908324068588141,0.031819950100133214,0.07681203261234446,0.012838063414872636,-0.10509887548825801
59,oppose returning undocumented to birth countries,-0.13044712627851685,-0.031938220107385236,0.02415485429627044,0.10777807813302834,-0.03950717858692151
60,dont separate undocumented kids from families,-0.0913987388764144,-0.02067789524134064,-0.09613666718347125,-0.059550739457445497,0.0722584408534417
61,no preferential hiring/promotion of blacks,0.09068093306800071,-0.10180646144325098,-0.13649850796979654,-0.019492025520525365,0.10885761870071634
62,more govt better,-0.11091743186563281,0.08125987460710057,0.10552530434666448,-0.13590052041847184,0.03639417739792016
63,govt shouldnt reduce income inequality,0.12792932685488004,-0.08481304537098798,0.01596986130920521,0.060433973063195215,-0.033732972200821935
64,shouldnt make sure everyone has equal opportunity,0.08021808947921853,-0.03151921631485842,0.06618197581218649,0.11562489739575596,-0.07880027889503739
65,should worry more about equality,-0.12608465670964267,0.001322588828366299,-0.019303643391673574,-0.012368159970403105,-0.02857527761934472
66,problem if some have more chance in life,-0.09943259411639206,-0.0005763469896099544,-0.058979960176941765,-0.01633994083558377,-0.009201620534661238
67,wouldnt have fewer problems if people treated more equally,0.10611632955795873,-0.0650104616536447,0.021044791290668007,0.10141998851314406,-0.049368043472971725
68,shouldn't adjust morality to changing world,0.09364129844906953,-0.08493773488077787,-0.030777763173360093,0.005381558099817851,-0.12965003458535693
69,wouldnt have less problems if focused more on traditional family ties,-0.1129779011172127,0.0019808738227801636,0.038422427831781944,0.16136321755580058,-0.013917295021239503
70,wouldnt be better if others more like americans,-0.08069996373625803,-0.053541504510294116,-0.0870543133999073,0.110833413346312,0.019387613223696976
71,US worse than other countries,-0.07711664890638091,0.14041487561625565,0.04039160274008442,0.11532220156540725,-0.005251399478547513
72,rural people have too little govt influence,0.08177474882942047,0.04144677636424948,-0.06891512004071257,-0.03931818558271825,0.00926611182209963
73,rural people get too little respect,0.04299154152362008,-0.013683070925738013,-0.1045841046693637,0.011774136727604016,-0.04671823813248201
74,worse if traditional gender roles,-0.059333426575341276,0.0026138270313265013,0.07132479853028605,0.09633917501099148,0.07673647282432802
75,women asking for equality dont want special favors,-0.07397720987840974,-0.11259349455773257,-0.083903197782764,-0.01090108985722116,0.071392710916819
76,women complaining about discrimination dont cause more problems,-0.0752437610075811,-0.11555461941612731,-0.08224368253310088,0.004768921028173682,0.05751305558121977
77,disagree w 'blacks should work their way up without special favors',-0.13393742506976042,-0.021280245396195174,0.02191446801002886,0.09891046501312714,-0.11238851794001209
78,blacks havent gotten less than they deserve,0.13821439475333697,-0.04874613089433785,-0.02989690808089076,-0.013985303331535638,0.07115312196859133
79,blacks dont suffer prejudice because of lack of hard work,-0.1266831233808034,-0.039338685851239695,-0.005414004582763606,0.06357494113097864,-0.09001329349311166
80,politics only works for powerful,-0.044032474421584,0.17323792169502972,-0.1793713244986109,0.06687584590943786,-0.07363542887108414
81,powerful make it harder for others to get ahead,-0.08775425942091869,0.20989995619387453,-0.08527261259540943,0.008284516652252135,-0.039355769600015834
82,trust experts more than ordinary people,-0.0860100505930629,-0.10951107580122806,0.02860224917050569,-0.005562052817200412,0.03584950882949385
83,people need help from experts to understand science,-0.07723142312568909,-0.05701046493785622,-0.04709570796689407,-0.09542805673950244,-0.03521187371958105
84,science important for covid decisions,-0.09742081156089243,-0.04859539616126994,-0.07583938893068275,-0.12748498863457622,0.06093605011882787
85,business/politics controlled by powerful few,0.009093416842784285,0.220087329149257,-0.14339169712829403,0.024746640398244334,-0.050317309623647666
86,schools/media lie to benefit powerful few,0.0877473847309555,0.1720696857490792,-0.07338271379103273,0.038678461297859006,-0.049139348720271536
87,no opportunity for average person to get ahead,-0.07881550479983211,0.15754678314342307,-0.009430637832331583,0.062397806231429216,0.03292531090930693
88,reducing defecit not important,-0.042678865462969534,0.007430752727386007,0.1221748364119286,0.08758090186130357,0.0327276991869045
89,disapprove obamacare,0.15457246416335213,-0.02950111654707813,-0.04395286002916122,0.07350691248360258,0.010766534368701713
90,disapprove vaccines,0.04755550723813955,0.0893767962541223,0.08818002179412925,0.12154641173975222,-0.09464043837774308
91,oppose climate change regulation,0.12213736018768453,0.01685458708550566,0.07855103181933817,0.11112610884771525,-0.09168654593003628
92,oppose gun purchase background checks,0.06213184226097729,0.03070959149030049,0.12269263588200285,0.15751572447084336,-0.17508202680625468
93,oppose assault weapons ban,0.09846553515195879,0.017167095476846393,-0.00039942353801564445,0.10018987749931489,-0.02978635298057545
94,oppose assault weapon buyback,0.11825171061122447,-0.013059437949783535,-0.03506187475239634,0.13128865749739102,-0.05528748523809279
95,govt should do less abt opioid crisis,0.048954244140522615,-0.004181895429397335,0.07139840543872593,0.13248856537099415,-0.038036541235300855
96,police overuse force,-0.09662143998042926,0.18255013257321062,0.049231048057704015,0.0066244725751479555,-0.07247280153360589
97,int trade increase bad,0.04712873495531585,0.14093505732223185,0.14138064941898995,0.001816229289960353,0.005589518529132771
98,diversity makes US worse,0.09756414546863779,0.09586838684684378,0.07987715590349803,-0.017872362518148513,-0.05153637194647288
99,against $12k/year ubi,0.10906281995262927,-0.13282285517198664,-0.07004672423734427,0.02384319780894096,-0.015242311054946266
100,decrease minimum wage,0.053138895080579965,-0.026566572491913576,0.042704319631714296,0.14990047126541375,-0.14221359523151142
101,decrease govt healthcare spending,0.11706030031110157,-0.027438294549370922,0.023290313660874844,0.09748194707759043,-0.060113297097267794
102,too little attn. to sexual harassement,-0.09067037395773894,0.031291205255528316,0.003513513453908909,-0.014390768446748348,-0.025214551657850925
103,against trans military service,0.1225965962800668,0.02071061542654775,0.045337858305791685,-0.02587928096321702,-0.13202780014543605
104,China threat to US,0.0482500453448011,-0.03728236787545547,-0.1331080739377128,-0.1580140377837172,-0.2734414453484649
105,Russia threat to US,-0.039842805934296704,-0.022985796091477197,-0.10821146362776626,-0.1888163935118559,-0.3097142045058509
106,Mexico threat to US,0.04656523814997458,0.10217065890116182,0.05519351119056462,-0.10751316634803948,-0.19333324505818314
107,Iran threat to US,0.046392787068468194,-0.027871218165239013,-0.09025161629006057,-0.21217805115299238,-0.24074654604033174
108,Japan threat to US,0.024386509427150645,0.1496381520013945,0.08366421966706464,-0.16233838276246276,-0.17216988618847512
109,Germany threat to US,0.023351396538739817,0.1497602327727601,0.10602748707541469,-0.10538277001820605,-0.19367223802624048
110,compromise in politics not selling out on principles.,-0.06400249898865308,-0.17344343148115268,0.015477583332435948,0.05034300010696293,-0.024081112604236444
111,politicians care about people,-0.028927962170921,-0.20224516961774971,0.1706744616029022,-0.09264966648534609,-0.015198202923575172
112,politicians not trustworthy,0.01468073510122608,0.09255154803718153,-0.1972047687563569,0.12943026239673192,-0.010471971508493659
113,politicians not main problem in US,-0.05122325613727518,-0.16488682430679286,0.16511846945098968,-0.04320644616791574,-0.03182810703744696
114,strong leader that bends rule bad for US,-0.07189834801430765,-0.08746511648438006,-0.024859967444068185,0.09111850716172333,-0.13721097255667927
115,politicans should make policy instead of people,4.541671738125446e-05,-0.12000562133944462,0.11852903308516836,-0.02177056141132463,-0.04442638196700973
116,politicians don't only care about rich/powerful,0.012724817624024205,-0.20431237570916347,0.19486518571568825,-0.04944983559794686,0.0008745201653987766
117,minorities shouldn't adapt to customs of US,-0.1014689750357118,-0.0006368754191265287,0.045190241834966484,0.12059080184406919,-0.015996272960722122
118,will of majority shouldn't prevail over minority rights',-0.06961954819946678,-0.08568051198074823,-0.04826847644557881,0.0967271409475804,-0.06495266047576913
119,Not important to be born in us to be american,-0.06761104982979017,-0.11790410104357145,-0.020184031280852856,0.17033457817445632,-0.0421493022655634
120,Polticial corruption hardly happens,-0.024504542071366285,-0.16053327187760102,0.17381322284022327,-0.05821184583801278,-0.0015995069863800311
121,govt shouldnt reduce diff in income,0.12339996248535336,-0.14593745621292,-0.011420165637052693,0.07297172076078451,-0.015633994523492477
